,Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Can_be_ignored
711,2019-12-12 18:00:00,43.65,44.55,43.43,44.44,127935.79567000,2019-12-13 17:59:59.999,5621054.01108980,13541,58471.19861000,2570140.84393180,0
712,2019-12-13 18:00:00,44.44,44.67,43.19,43.25,121589.21791000,2019-12-14 17:59:59.999,5323519.62204860,13310,53862.19322000,2360252.24478530,0
713,2019-12-14 18:00:00,43.28,44.04,42.9,43.44,105010.15867000,2019-12-15 17:59:59.999,4563418.48711830,12505,51799.75603000,2251768.76826200,0
714,2019-12-15 18:00:00,43.46,43.56,39.02,39.99,396847.07159000,2019-12-16 17:59:59.999,16244725.10812520,41485,184884.86667000,7573765.05845150,0
715,2019-12-16 18:00:00,39.98,40.13,36.1,36.92,648918.38857000,2019-12-17 17:59:59.999,24820514.27758630,70023,310331.14087000,11871806.97569000,0
716,2019-12-17 18:00:00,36.94,41.71,35.78,40.79,668186.50576000,2019-12-18 17:59:59.999,25716885.42918140,89411,335244.51062000,12916009.08026010,0
717,2019-12-18 18:00:00,40.79,41.1,39.06,39.65,240386.31479000,2019-12-19 17:59:59.999,9577045.42395340,33791,120262.37009000,4791331.89861050,0
718,2019-12-19 18:00:00,39.66,40.41,39.25,40.17,151508.47648000,2019-12-20 17:59:59.999,6050598.73182280,19425,78419.75891000,3132282.40459490,0
719,2019-12-20 18:00:00,40.15,40.22,39.41,39.67,91777.09640000,2019-12-21 17:59:59.999,3651414.49118130,11662,43464.92628000,1729288.94778340,0
720,2019-12-21 18:00:00,39.67,42.16,39.62,41.82,208763.30093000,2019-12-22 17:59:59.999,8592483.95532630,24934,101861.01512000,4192128.50749550,0
721,2019-12-22 18:00:00,41.84,42.67,40.21,40.56,288871.46721000,2019-12-23 17:59:59.999,12041679.12462470,34320,143105.05993000,5970009.13594250,0
722,2019-12-23 18:00:00,40.56,41.13,39.68,40.34,211802.58489000,2019-12-24 17:59:59.999,8565123.80359530,24839,102292.12388000,4136767.07859820,0
723,2019-12-24 18:00:00,40.33,40.48,39.38,40.08,136397.58244000,2019-12-25 17:59:59.999,5454518.42452860,17209,65406.50317000,2615476.54080960,0
724,2019-12-25 18:00:00,40.11,41.73,39.58,40.01,198471.35190000,2019-12-26 17:59:59.999,8031017.76257610,24086,96029.37615000,3888297.25503540,0
725,2019-12-26 18:00:00,39.99,41.5,39.67,40.95,219242.83628000,2019-12-27 17:59:59.999,8903088.98840500,26536,110252.79334000,4478146.03961230,0
726,2019-12-27 18:00:00,40.96,43.76,40.91,42.83,284295.33296000,2019-12-28 17:59:59.999,12068166.85660780,31929,145885.33427000,6192814.62719960,0
727,2019-12-28 18:00:00,42.84,43.76,42.14,43.08,337087.76870000,2019-12-29 17:59:59.999,14473143.45879450,35634,166163.03141000,7140619.59151460,0
728,2019-12-29 18:00:00,43.07,44.18,41.82,42.38,298595.46371000,2019-12-30 17:59:59.999,12800752.84547040,30692,146825.73255000,6295109.72941410,0
729,2019-12-30 18:00:00,42.36,43.05,41.0,41.3,201549.74137000,2019-12-31 17:59:59.999,8450325.32479170,23193,93522.40299000,3922005.68383320,0
730,2019-12-31 18:00:00,41.29,42.08,41.16,41.62,110044.87445000,2020-01-01 17:59:59.999,4588192.88494250,14203,53760.52786000,2241726.74736430,0
731,2020-01-01 18:00:00,41.58,41.74,39.17,39.43,194486.21570000,2020-01-02 17:59:59.999,7837031.55619300,23558,91324.69175000,3676994.34181980,0
732,2020-01-02 18:00:00,39.44,42.39,38.77,42.23,426771.00676000,2020-01-03 17:59:59.999,17556942.01620890,46354,220965.94790000,9092798.72197530,0
733,2020-01-03 18:00:00,42.23,42.9,41.77,42.78,248814.62818000,2020-01-04 17:59:59.999,10536131.93721250,27608,120439.57768000,5101268.04655140,0
734,2020-01-04 18:00:00,42.79,44.61,42.6,43.3,291964.84958000,2020-01-05 17:59:59.999,12684292.66043760,34561,148341.20111000,6445083.88801190,0
735,2020-01-05 18:00:00,43.29,46.08,43.16,45.8,384930.99090000,2020-01-06 17:59:59.999,17201996.63042000,41260,202551.96806000,9055729.23892610,0
736,2020-01-06 18:00:00,45.8,47.03,44.48,46.3,493847.10532000,2020-01-07 17:59:59.999,22589565.78223820,57967,246257.18590000,11269240.62485130,0
737,2020-01-07 18:00:00,46.3,48.54,44.0,45.35,628050.68438000,2020-01-08 17:59:59.999,29193086.86085100,71541,305889.39717000,14217334.08675440,0
738,2020-01-08 18:00:00,45.35,45.79,43.9,44.74,296221.65692000,2020-01-09 17:59:59.999,13283092.25772150,39695,149714.58144000,6715265.31379200,0
739,2020-01-09 18:00:00,44.75,49.72,43.71,49.06,729803.12291000,2020-01-10 17:59:59.999,34640199.74646030,91821,373304.80193000,17712302.98251370,0
740,2020-01-10 18:00:00,49.06,51.95,47.77,49.3,681984.46652000,2020-01-11 17:59:59.999,33981679.44026000,92758,331428.16605000,16518943.87200340,0
741,2020-01-11 18:00:00,49.32,51.75,48.78,51.43,533583.45808000,2020-01-12 17:59:59.999,26990269.79888990,70890,263143.43421000,13311839.32005090,0
742,2020-01-12 18:00:00,51.44,51.6,48.91,49.6,382092.95573000,2020-01-13 17:59:59.999,19087715.14522830,51235,183395.24250000,9158499.13817160,0
743,2020-01-13 18:00:00,49.59,60.8,49.58,58.39,1232536.35364000,2020-01-14 17:59:59.999,68826521.75910260,213635,626303.01693000,35005652.79094810,0
744,2020-01-14 18:00:00,58.37,60.33,55.28,58.16,720369.64189000,2020-01-15 17:59:59.999,41857129.97632310,137194,351957.40768000,20462906.06609060,0
745,2020-01-15 18:00:00,58.17,58.5,54.5,57.56,477991.20162000,2020-01-16 17:59:59.999,27095155.67487640,92559,232849.92958000,13209804.02620230,0
746,2020-01-16 18:00:00,57.56,63.26,56.72,61.02,767514.50323000,2020-01-17 17:59:59.999,46255994.43095530,145648,367381.09392000,22140222.82637420,0
